"id","season","city","date","team1","team2","toss_winner","toss_decision","result","dl_applied","winner","win_by_runs","win_by_wickets","player_of_match","venue"
20,2017,"Rajkot","2017-04-18","Royal Challengers Bangalore","Gujarat Lions","Gujarat Lions","field","normal",0,"Royal Challengers Bangalore",21,0,"CH Gayle","Saurashtra Cricket Association Stadium"
21,2017,"Hyderabad","2017-04-19","Sunrisers Hyderabad","Delhi Daredevils","Sunrisers Hyderabad","bat","normal",0,"Sunrisers Hyderabad",15,0,"KS Williamson","Rajiv Gandhi International Stadium, Uppal"
22,2017,"Indore","2017-04-20","Kings XI Punjab","Mumbai Indians","Mumbai Indians","field","normal",0,"Mumbai Indians",0,8,"JC Buttler","Holkar Cricket Stadium"
23,2017,"Kolkata","2017-04-21","Kolkata Knight Riders","Gujarat Lions","Gujarat Lions","field","normal",0,"Gujarat Lions",0,4,"SK Raina","Eden Gardens"
24,2017,"Mumbai","2017-04-22","Mumbai Indians","Delhi Daredevils","Delhi Daredevils","field","normal",0,"Mumbai Indians",14,0,"MJ McClenaghan","Wankhede Stadium"
25,2017,"Pune","2017-04-22","Sunrisers Hyderabad","Rising Pune Supergiant","Rising Pune Supergiant","field","normal",0,"Rising Pune Supergiant",0,6,"MS Dhoni","Maharashtra Cricket Association Stadium"
26,2017,"Rajkot","2017-04-23","Kings XI Punjab","Gujarat Lions","Gujarat Lions","field","normal",0,"Kings XI Punjab",26,0,"HM Amla","Saurashtra Cricket Association Stadium"
27,2017,"Kolkata","2017-04-23","Kolkata Knight Riders","Royal Challengers Bangalore","Royal Challengers Bangalore","field","normal",0,"Kolkata Knight Riders",82,0,"NM Coulter-Nile","Eden Gardens"
28,2017,"Mumbai","2017-04-24","Rising Pune Supergiant","Mumbai Indians","Mumbai Indians","field","normal",0,"Rising Pune Supergiant",3,0,"BA Stokes","Wankhede Stadium"
29,2017,"Pune","2017-04-26","Rising Pune Supergiant","Kolkata Knight Riders","Kolkata Knight Riders","field","normal",0,"Kolkata Knight Riders",0,7,"RV Uthappa","Maharashtra Cricket Association Stadium"
30,2017,"Bangalore","2017-04-27","Royal Challengers Bangalore","Gujarat Lions","Gujarat Lions","field","normal",0,"Gujarat Lions",0,7,"AJ Tye","M Chinnaswamy Stadium"
31,2017,"Kolkata","2017-04-28","Delhi Daredevils","Kolkata Knight Riders","Kolkata Knight Riders","field","normal",0,"Kolkata Knight Riders",0,7,"G Gambhir","Eden Gardens"
32,2017,"Chandigarh","2017-04-28","Sunrisers Hyderabad","Kings XI Punjab","Kings XI Punjab","field","normal",0,"Sunrisers Hyderabad",26,0,"Rashid Khan","Punjab Cricket Association IS Bindra Stadium, Mohali"
33,2017,"Pune","2017-04-29","Rising Pune Supergiant","Royal Challengers Bangalore","Royal Challengers Bangalore","field","normal",0,"Rising Pune Supergiant",61,0,"LH Ferguson","Maharashtra Cricket Association Stadium"
34,2017,"Rajkot","2017-04-29","Gujarat Lions","Mumbai Indians","Gujarat Lions","bat","tie",0,"Mumbai Indians",0,0,"KH Pandya","Saurashtra Cricket Association Stadium"
35,2017,"Chandigarh","2017-04-30","Delhi Daredevils","Kings XI Punjab","Kings XI Punjab","field","normal",0,"Kings XI Punjab",0,10,"Sandeep Sharma","Punjab Cricket Association IS Bindra Stadium, Mohali"
36,2017,"Hyderabad","2017-04-30","Sunrisers Hyderabad","Kolkata Knight Riders","Kolkata Knight Riders","field","normal",0,"Sunrisers Hyderabad",48,0,"DA Warner","Rajiv Gandhi International Stadium, Uppal"
37,2017,"Mumbai","2017-05-01","Royal Challengers Bangalore","Mumbai Indians","Royal Challengers Bangalore","bat","normal",0,"Mumbai Indians",0,5,"RG Sharma","Wankhede Stadium"
38,2017,"Pune","2017-05-01","Gujarat Lions","Rising Pune Supergiant","Rising Pune Supergiant","field","normal",0,"Rising Pune Supergiant",0,5,"BA Stokes","Maharashtra Cricket Association Stadium"
39,2017,"Delhi","2017-05-02","Sunrisers Hyderabad","Delhi Daredevils","Delhi Daredevils","field","normal",0,"Delhi Daredevils",0,6,"Mohammed Shami","Feroz Shah Kotla"
40,2017,"Kolkata","2017-05-03","Kolkata Knight Riders","Rising Pune Supergiant","Rising Pune Supergiant","field","normal",0,"Rising Pune Supergiant",0,4,"RA Tripathi","Eden Gardens"
41,2017,"Delhi","2017-05-04","Gujarat Lions","Delhi Daredevils","Delhi Daredevils","field","normal",0,"Delhi Daredevils",0,7,"RR Pant","Feroz Shah Kotla"
42,2017,"Bangalore","2017-05-05","Kings XI Punjab","Royal Challengers Bangalore","Royal Challengers Bangalore","field","normal",0,"Kings XI Punjab",19,0,"Sandeep Sharma","M Chinnaswamy Stadium"
43,2017,"Hyderabad","2017-05-06","Rising Pune Supergiant","Sunrisers Hyderabad","Sunrisers Hyderabad","field","normal",0,"Rising Pune Supergiant",12,0,"JD Unadkat","Rajiv Gandhi International Stadium, Uppal"
44,2017,"Delhi","2017-05-06","Mumbai Indians","Delhi Daredevils","Delhi Daredevils","field","normal",0,"Mumbai Indians",146,0,"LMP Simmons","Feroz Shah Kotla"
45,2017,"Bangalore","2017-05-07","Royal Challengers Bangalore","Kolkata Knight Riders","Kolkata Knight Riders","field","normal",0,"Kolkata Knight Riders",0,6,"SP Narine","M Chinnaswamy Stadium"
46,2017,"Chandigarh","2017-05-07","Kings XI Punjab","Gujarat Lions","Gujarat Lions","field","normal",0,"Gujarat Lions",0,6,"DR Smith","Punjab Cricket Association IS Bindra Stadium, Mohali"
47,2017,"Hyderabad","2017-05-08","Mumbai Indians","Sunrisers Hyderabad","Mumbai Indians","bat","normal",0,"Sunrisers Hyderabad",0,7,"S Dhawan","Rajiv Gandhi International Stadium, Uppal"
48,2017,"Chandigarh","2017-05-09","Kings XI Punjab","Kolkata Knight Riders","Kolkata Knight Riders","field","normal",0,"Kings XI Punjab",14,0,"MM Sharma","Punjab Cricket Association IS Bindra Stadium, Mohali"
49,2017,"Kanpur","2017-05-10","Gujarat Lions","Delhi Daredevils","Delhi Daredevils","field","normal",0,"Delhi Daredevils",0,2,"SS Iyer","Green Park"
50,2017,"Mumbai","2017-05-11","Kings XI Punjab","Mumbai Indians","Mumbai Indians","field","normal",0,"Kings XI Punjab",7,0,"WP Saha","Wankhede Stadium"
51,2017,"Delhi","2017-05-12","Delhi Daredevils","Rising Pune Supergiant","Delhi Daredevils","bat","normal",0,"Delhi Daredevils",7,0,"KK Nair","Feroz Shah Kotla"
52,2017,"Kanpur","2017-05-13","Gujarat Lions","Sunrisers Hyderabad","Sunrisers Hyderabad","field","normal",0,"Sunrisers Hyderabad",0,8,"Mohammed Siraj","Green Park"
53,2017,"Kolkata","2017-05-13","Mumbai Indians","Kolkata Knight Riders","Kolkata Knight Riders","field","normal",0,"Mumbai Indians",9,0,"AT Rayudu","Eden Gardens"
54,2017,"Pune","2017-05-14","Kings XI Punjab","Rising Pune Supergiant","Rising Pune Supergiant","field","normal",0,"Rising Pune Supergiant",0,9,"JD Unadkat","Maharashtra Cricket Association Stadium"
55,2017,"Delhi","2017-05-14","Royal Challengers Bangalore","Delhi Daredevils","Royal Challengers Bangalore","bat","normal",0,"Royal Challengers Bangalore",10,0,"HV Patel","Feroz Shah Kotla"
56,2017,"Mumbai","2017-05-16","Rising Pune Supergiant","Mumbai Indians","Mumbai Indians","field","normal",0,"Rising Pune Supergiant",20,0,"Washington Sundar","Wankhede Stadium"
57,2017,"Bangalore","2017-05-17","Sunrisers Hyderabad","Kolkata Knight Riders","Kolkata Knight Riders","field","normal",1,"Kolkata Knight Riders",0,7,"NM Coulter-Nile","M Chinnaswamy Stadium"
58,2017,"Bangalore","2017-05-19","Kolkata Knight Riders","Mumbai Indians","Mumbai Indians","field","normal",0,"Mumbai Indians",0,6,"KV Sharma","M Chinnaswamy Stadium"
59,2017,"Hyderabad","2017-05-21","Mumbai Indians","Rising Pune Supergiant","Mumbai Indians","bat","normal",0,"Mumbai Indians",1,0,"KH Pandya","Rajiv Gandhi International Stadium, Uppal"
60,2008,"Bangalore","2008-04-18","Kolkata Knight Riders","Royal Challengers Bangalore","Royal Challengers Bangalore","field","normal",0,"Kolkata Knight Riders",140,0,"BB McCullum","M Chinnaswamy Stadium"
61,2008,"Chandigarh","2008-04-19","Chennai Super Kings","Kings XI Punjab","Chennai Super Kings","bat","normal",0,"Chennai Super Kings",33,0,"MEK Hussey","Punjab Cricket Association Stadium, Mohali"
62,2008,"Delhi","2008-04-19","Rajasthan Royals","Delhi Daredevils","Rajasthan Royals","bat","normal",0,"Delhi Daredevils",0,9,"MF Maharoof","Feroz Shah Kotla"
63,2008,"Mumbai","2008-04-20","Mumbai Indians","Royal Challengers Bangalore","Mumbai Indians","bat","normal",0,"Royal Challengers Bangalore",0,5,"MV Boucher","Wankhede Stadium"
64,2008,"Kolkata","2008-04-20","Deccan Chargers","Kolkata Knight Riders","Deccan Chargers","bat","normal",0,"Kolkata Knight Riders",0,5,"DJ Hussey","Eden Gardens"
65,2008,"Jaipur","2008-04-21","Kings XI Punjab","Rajasthan Royals","Kings XI Punjab","bat","normal",0,"Rajasthan Royals",0,6,"SR Watson","Sawai Mansingh Stadium"
66,2008,"Hyderabad","2008-04-22","Deccan Chargers","Delhi Daredevils","Deccan Chargers","bat","normal",0,"Delhi Daredevils",0,9,"V Sehwag","Rajiv Gandhi International Stadium, Uppal"
67,2008,"Chennai","2008-04-23","Chennai Super Kings","Mumbai Indians","Mumbai Indians","field","normal",0,"Chennai Super Kings",6,0,"ML Hayden","MA Chidambaram Stadium, Chepauk"
68,2008,"Hyderabad","2008-04-24","Deccan Chargers","Rajasthan Royals","Rajasthan Royals","field","normal",0,"Rajasthan Royals",0,3,"YK Pathan","Rajiv Gandhi International Stadium, Uppal"
69,2008,"Chandigarh","2008-04-25","Kings XI Punjab","Mumbai Indians","Mumbai Indians","field","normal",0,"Kings XI Punjab",66,0,"KC Sangakkara","Punjab Cricket Association Stadium, Mohali"
70,2008,"Bangalore","2008-04-26","Royal Challengers Bangalore","Rajasthan Royals","Rajasthan Royals","field","normal",0,"Rajasthan Royals",0,7,"SR Watson","M Chinnaswamy Stadium"
71,2008,"Chennai","2008-04-26","Kolkata Knight Riders","Chennai Super Kings","Kolkata Knight Riders","bat","normal",0,"Chennai Super Kings",0,9,"JDP Oram","MA Chidambaram Stadium, Chepauk"
72,2008,"Mumbai","2008-04-27","Mumbai Indians","Deccan Chargers","Deccan Chargers","field","normal",0,"Deccan Chargers",0,10,"AC Gilchrist","Dr DY Patil Sports Academy"
73,2008,"Chandigarh","2008-04-27","Delhi Daredevils","Kings XI Punjab","Delhi Daredevils","bat","normal",0,"Kings XI Punjab",0,4,"SM Katich","Punjab Cricket Association Stadium, Mohali"
74,2008,"Bangalore","2008-04-28","Chennai Super Kings","Royal Challengers Bangalore","Chennai Super Kings","bat","normal",0,"Chennai Super Kings",13,0,"MS Dhoni","M Chinnaswamy Stadium"
75,2008,"Kolkata","2008-04-29","Kolkata Knight Riders","Mumbai Indians","Kolkata Knight Riders","bat","normal",0,"Mumbai Indians",0,7,"ST Jayasuriya","Eden Gardens"
76,2008,"Delhi","2008-04-30","Delhi Daredevils","Royal Challengers Bangalore","Royal Challengers Bangalore","field","normal",0,"Delhi Daredevils",10,0,"GD McGrath","Feroz Shah Kotla"
77,2008,"Hyderabad","2008-05-01","Deccan Chargers","Kings XI Punjab","Kings XI Punjab","field","normal",0,"Kings XI Punjab",0,7,"SE Marsh","Rajiv Gandhi International Stadium, Uppal"
78,2008,"Jaipur","2008-05-01","Rajasthan Royals","Kolkata Knight Riders","Rajasthan Royals","bat","normal",0,"Rajasthan Royals",45,0,"SA Asnodkar","Sawai Mansingh Stadium"
79,2008,"Chennai","2008-05-02","Chennai Super Kings","Delhi Daredevils","Chennai Super Kings","bat","normal",0,"Delhi Daredevils",0,8,"V Sehwag","MA Chidambaram Stadium, Chepauk"
80,2008,"Hyderabad","2008-05-25","Deccan Chargers","Royal Challengers Bangalore","Deccan Chargers","bat","normal",0,"Royal Challengers Bangalore",0,5,"R Vinay Kumar","Rajiv Gandhi International Stadium, Uppal"
81,2008,"Chandigarh","2008-05-03","Kings XI Punjab","Kolkata Knight Riders","Kings XI Punjab","bat","normal",0,"Kings XI Punjab",9,0,"IK Pathan","Punjab Cricket Association Stadium, Mohali"
82,2008,"Mumbai","2008-05-04","Mumbai Indians","Delhi Daredevils","Delhi Daredevils","field","normal",0,"Mumbai Indians",29,0,"SM Pollock","Dr DY Patil Sports Academy"
83,2008,"Jaipur","2008-05-04","Chennai Super Kings","Rajasthan Royals","Chennai Super Kings","bat","normal",0,"Rajasthan Royals",0,8,"Sohail Tanvir","Sawai Mansingh Stadium"
84,2008,"Bangalore","2008-05-05","Royal Challengers Bangalore","Kings XI Punjab","Kings XI Punjab","field","normal",0,"Kings XI Punjab",0,6,"S Sreesanth","M Chinnaswamy Stadium"
85,2008,"Chennai","2008-05-06","Chennai Super Kings","Deccan Chargers","Deccan Chargers","field","normal",0,"Deccan Chargers",0,7,"AC Gilchrist","MA Chidambaram Stadium, Chepauk"
86,2008,"Mumbai","2008-05-07","Rajasthan Royals","Mumbai Indians","Mumbai Indians","field","normal",0,"Mumbai Indians",0,7,"A Nehra","Dr DY Patil Sports Academy"
87,2008,"Delhi","2008-05-08","Delhi Daredevils","Chennai Super Kings","Chennai Super Kings","field","normal",0,"Chennai Super Kings",0,4,"MS Dhoni","Feroz Shah Kotla"
88,2008,"Kolkata","2008-05-08","Kolkata Knight Riders","Royal Challengers Bangalore","Kolkata Knight Riders","bat","normal",0,"Kolkata Knight Riders",5,0,"SC Ganguly","Eden Gardens"
89,2008,"Jaipur","2008-05-09","Deccan Chargers","Rajasthan Royals","Rajasthan Royals","field","normal",0,"Rajasthan Royals",0,8,"YK Pathan","Sawai Mansingh Stadium"
90,2008,"Bangalore","2008-05-28","Royal Challengers Bangalore","Mumbai Indians","Mumbai Indians","field","normal",0,"Mumbai Indians",0,9,"CRD Fernando","M Chinnaswamy Stadium"
91,2008,"Chennai","2008-05-10","Chennai Super Kings","Kings XI Punjab","Kings XI Punjab","field","normal",0,"Chennai Super Kings",18,0,"L Balaji","MA Chidambaram Stadium, Chepauk"
92,2008,"Hyderabad","2008-05-11","Kolkata Knight Riders","Deccan Chargers","Kolkata Knight Riders","bat","normal",0,"Kolkata Knight Riders",23,0,"SC Ganguly","Rajiv Gandhi International Stadium, Uppal"
93,2008,"Jaipur","2008-05-11","Delhi Daredevils","Rajasthan Royals","Rajasthan Royals","field","normal",0,"Rajasthan Royals",0,3,"SR Watson","Sawai Mansingh Stadium"
94,2008,"Chandigarh","2008-05-12","Royal Challengers Bangalore","Kings XI Punjab","Royal Challengers Bangalore","bat","normal",0,"Kings XI Punjab",0,9,"SE Marsh","Punjab Cricket Association Stadium, Mohali"
95,2008,"Kolkata","2008-05-13","Kolkata Knight Riders","Delhi Daredevils","Kolkata Knight Riders","bat","normal",0,"Kolkata Knight Riders",23,0,"Shoaib Akhtar","Eden Gardens"
96,2008,"Mumbai","2008-05-14","Chennai Super Kings","Mumbai Indians","Mumbai Indians","field","normal",0,"Mumbai Indians",0,9,"ST Jayasuriya","Wankhede Stadium"
97,2008,"Chandigarh","2008-05-28","Kings XI Punjab","Rajasthan Royals","Rajasthan Royals","field","normal",0,"Kings XI Punjab",41,0,"SE Marsh","Punjab Cricket Association Stadium, Mohali"
98,2008,"Delhi","2008-05-15","Delhi Daredevils","Deccan Chargers","Deccan Chargers","field","normal",0,"Delhi Daredevils",12,0,"A Mishra","Feroz Shah Kotla"
99,2008,"Mumbai","2008-05-16","Kolkata Knight Riders","Mumbai Indians","Mumbai Indians","field","normal",0,"Mumbai Indians",0,8,"SM Pollock","Wankhede Stadium"
100,2008,"Delhi","2008-05-17","Delhi Daredevils","Kings XI Punjab","Delhi Daredevils","bat","normal",1,"Kings XI Punjab",6,0,"DPMD Jayawardene","Feroz Shah Kotla"
101,2008,"Jaipur","2008-05-17","Rajasthan Royals","Royal Challengers Bangalore","Royal Challengers Bangalore","field","normal",0,"Rajasthan Royals",65,0,"GC Smith","Sawai Mansingh Stadium"
102,2008,"Hyderabad","2008-05-18","Mumbai Indians","Deccan Chargers","Deccan Chargers","field","normal",0,"Mumbai Indians",25,0,"DJ Bravo","Rajiv Gandhi International Stadium, Uppal"
103,2008,"Kolkata","2008-05-18","Kolkata Knight Riders","Chennai Super Kings","Kolkata Knight Riders","bat","normal",1,"Chennai Super Kings",3,0,"M Ntini","Eden Gardens"
104,2008,"Bangalore","2008-05-19","Royal Challengers Bangalore","Delhi Daredevils","Delhi Daredevils","field","normal",0,"Delhi Daredevils",0,5,"SP Goswami","M Chinnaswamy Stadium"
105,2008,"Kolkata","2008-05-20","Kolkata Knight Riders","Rajasthan Royals","Rajasthan Royals","field","normal",0,"Rajasthan Royals",0,6,"YK Pathan","Eden Gardens"
106,2008,"Mumbai","2008-05-21","Kings XI Punjab","Mumbai Indians","Mumbai Indians","field","normal",0,"Kings XI Punjab",1,0,"SE Marsh","Wankhede Stadium"
107,2008,"Chennai","2008-05-21","Royal Challengers Bangalore","Chennai Super Kings","Royal Challengers Bangalore","bat","normal",0,"Royal Challengers Bangalore",14,0,"A Kumble","MA Chidambaram Stadium, Chepauk"
108,2008,"Chandigarh","2008-05-23","Deccan Chargers","Kings XI Punjab","Kings XI Punjab","field","normal",0,"Kings XI Punjab",0,6,"SE Marsh","Punjab Cricket Association Stadium, Mohali"
109,2008,"Delhi","2008-05-24","Mumbai Indians","Delhi Daredevils","Delhi Daredevils","field","normal",0,"Delhi Daredevils",0,5,"KD Karthik","Feroz Shah Kotla"
110,2008,"Chennai","2008-05-24","Rajasthan Royals","Chennai Super Kings","Rajasthan Royals","bat","normal",0,"Rajasthan Royals",10,0,"JA Morkel","MA Chidambaram Stadium, Chepauk"
111,2008,"Bangalore","2008-05-03","Royal Challengers Bangalore","Deccan Chargers","Deccan Chargers","field","normal",0,"Royal Challengers Bangalore",3,0,"P Kumar","M Chinnaswamy Stadium"
112,2008,"Kolkata","2008-05-25","Kings XI Punjab","Kolkata Knight Riders","Kings XI Punjab","bat","normal",0,"Kolkata Knight Riders",0,3,"Umar Gul","Eden Gardens"
113,2008,"Jaipur","2008-05-26","Mumbai Indians","Rajasthan Royals","Rajasthan Royals","field","normal",0,"Rajasthan Royals",0,5,"Sohail Tanvir","Sawai Mansingh Stadium"
114,2008,"Hyderabad","2008-05-27","Deccan Chargers","Chennai Super Kings","Deccan Chargers","bat","normal",0,"Chennai Super Kings",0,7,"SK Raina","Rajiv Gandhi International Stadium, Uppal"
115,2008,"Mumbai","2008-05-30","Rajasthan Royals","Delhi Daredevils","Delhi Daredevils","field","normal",0,"Rajasthan Royals",105,0,"SR Watson","Wankhede Stadium"
116,2008,"Mumbai","2008-05-31","Kings XI Punjab","Chennai Super Kings","Kings XI Punjab","bat","normal",0,"Chennai Super Kings",0,9,"M Ntini","Wankhede Stadium"
117,2008,"Mumbai","2008-06-01","Chennai Super Kings","Rajasthan Royals","Rajasthan Royals","field","normal",0,"Rajasthan Royals",0,3,"YK Pathan","Dr DY Patil Sports Academy"
118,2009,"Cape Town","2009-04-18","Mumbai Indians","Chennai Super Kings","Chennai Super Kings","field","normal",0,"Mumbai Indians",19,0,"SR Tendulkar","Newlands"
119,2009,"Cape Town","2009-04-18","Royal Challengers Bangalore","Rajasthan Royals","Royal Challengers Bangalore","bat","normal",0,"Royal Challengers Bangalore",75,0,"R Dravid","Newlands"
120,2009,"Cape Town","2009-04-19","Kings XI Punjab","Delhi Daredevils","Delhi Daredevils","field","normal",1,"Delhi Daredevils",0,10,"DL Vettori","Newlands"
121,2009,"Cape Town","2009-04-19","Kolkata Knight Riders","Deccan Chargers","Kolkata Knight Riders","bat","normal",0,"Deccan Chargers",0,8,"RP Singh","Newlands"
122,2009,"Port Elizabeth","2009-04-20","Chennai Super Kings","Royal Challengers Bangalore","Chennai Super Kings","bat","normal",0,"Chennai Super Kings",92,0,"M Muralitharan","St George's Park"
123,2009,"Durban","2009-04-21","Kings XI Punjab","Kolkata Knight Riders","Kolkata Knight Riders","field","normal",1,"Kolkata Knight Riders",11,0,"CH Gayle","Kingsmead"
124,2009,"Cape Town","2009-04-22","Deccan Chargers","Royal Challengers Bangalore","Deccan Chargers","bat","normal",0,"Deccan Chargers",24,0,"AC Gilchrist","Newlands"
125,2009,"Durban","2009-04-23","Delhi Daredevils","Chennai Super Kings","Delhi Daredevils","bat","normal",0,"Delhi Daredevils",9,0,"AB de Villiers","Kingsmead"
126,2009,"Cape Town","2009-04-23","Rajasthan Royals","Kolkata Knight Riders","Kolkata Knight Riders","field","tie",0,"Rajasthan Royals",0,0,"YK Pathan","Newlands"
127,2009,"Durban","2009-04-24","Royal Challengers Bangalore","Kings XI Punjab","Royal Challengers Bangalore","bat","normal",0,"Kings XI Punjab",0,7,"RS Bopara","Kingsmead"
128,2009,"Durban","2009-04-25","Deccan Chargers","Mumbai Indians","Deccan Chargers","bat","normal",0,"Deccan Chargers",12,0,"PP Ojha","Kingsmead"
129,2009,"Port Elizabeth","2009-04-26","Royal Challengers Bangalore","Delhi Daredevils","Royal Challengers Bangalore","bat","normal",0,"Delhi Daredevils",0,6,"TM Dilshan","St George's Park"
130,2009,"Cape Town","2009-04-26","Kings XI Punjab","Rajasthan Royals","Kings XI Punjab","bat","normal",0,"Kings XI Punjab",27,0,"KC Sangakkara","Newlands"
131,2009,"Durban","2009-04-27","Chennai Super Kings","Deccan Chargers","Deccan Chargers","field","normal",0,"Deccan Chargers",0,6,"HH Gibbs","Kingsmead"
132,2009,"Port Elizabeth","2009-04-27","Mumbai Indians","Kolkata Knight Riders","Mumbai Indians","bat","normal",0,"Mumbai Indians",92,0,"SR Tendulkar","St George's Park"
133,2009,"Centurion","2009-04-28","Delhi Daredevils","Rajasthan Royals","Delhi Daredevils","bat","normal",0,"Rajasthan Royals",0,5,"YK Pathan","SuperSport Park"
134,2009,"Durban","2009-04-29","Kolkata Knight Riders","Royal Challengers Bangalore","Kolkata Knight Riders","bat","normal",0,"Royal Challengers Bangalore",0,5,"MV Boucher","Kingsmead"
135,2009,"Durban","2009-04-29","Kings XI Punjab","Mumbai Indians","Kings XI Punjab","bat","normal",0,"Kings XI Punjab",3,0,"KC Sangakkara","Kingsmead"
136,2009,"Centurion","2009-04-30","Deccan Chargers","Delhi Daredevils","Delhi Daredevils","field","normal",0,"Delhi Daredevils",0,6,"DP Nannes","SuperSport Park"
137,2009,"Centurion","2009-04-30","Chennai Super Kings","Rajasthan Royals","Rajasthan Royals","field","normal",0,"Chennai Super Kings",38,0,"SK Raina","SuperSport Park"
138,2009,"East London","2009-05-01","Mumbai Indians","Kolkata Knight Riders","Mumbai Indians","bat","normal",0,"Mumbai Indians",9,0,"JP Duminy","Buffalo Park"
139,2009,"Durban","2009-05-01","Royal Challengers Bangalore","Kings XI Punjab","Royal Challengers Bangalore","bat","normal",0,"Royal Challengers Bangalore",8,0,"Yuvraj Singh","Kingsmead"
140,2009,"Port Elizabeth","2009-05-02","Deccan Chargers","Rajasthan Royals","Deccan Chargers","bat","normal",0,"Rajasthan Royals",0,3,"YK Pathan","St George's Park"
141,2009,"Johannesburg","2009-05-02","Chennai Super Kings","Delhi Daredevils","Delhi Daredevils","field","normal",0,"Chennai Super Kings",18,0,"SB Jakati","New Wanderers Stadium"
142,2009,"Port Elizabeth","2009-05-03","Kolkata Knight Riders","Kings XI Punjab","Kolkata Knight Riders","bat","normal",0,"Kings XI Punjab",0,6,"DPMD Jayawardene","St George's Park"
143,2009,"Johannesburg","2009-05-03","Mumbai Indians","Royal Challengers Bangalore","Mumbai Indians","bat","normal",0,"Royal Challengers Bangalore",0,9,"JH Kallis","New Wanderers Stadium"
144,2009,"East London","2009-05-04","Chennai Super Kings","Deccan Chargers","Chennai Super Kings","bat","normal",0,"Chennai Super Kings",78,0,"MS Dhoni","Buffalo Park"
